SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
MC13-03	COI	SRR7969775	SAMN10181873	PRJNA494857
MC14-01	COI	SRR7969774	SAMN10181874	PRJNA494857
MC14-02	COI	SRR7969773	SAMN10181875	PRJNA494857
MC14-03	COI	SRR7969772	SAMN10181876	PRJNA494857
MC-ExtBlack-01	COI	SRR7969654	SAMN10181794	PRJNA494857
MC-ExtBlack-02	COI	SRR7969653	SAMN10181795	PRJNA494857
MC-ExtBlack-03	COI	SRR7969652	SAMN10181796	PRJNA494857
MC-ExtBlack-04	COI	SRR7969651	SAMN10181797	PRJNA494857
MC-ExtBlack-05	COI	SRR7969650	SAMN10181798	PRJNA494857
Negative-P1-01	COI	SRR7969771	SAMN10181877	PRJNA494857
Negative-P1-02	COI	SRR7969770	SAMN10181878	PRJNA494857
Negative-P2-01	COI	SRR7969395	SAMN10181879	PRJNA494857
Negative-P2-02	COI	SRR7969394	SAMN10181880	PRJNA494857
Negative-P3-01	COI	SRR7969726	SAMN10181881	PRJNA494857
Negative-P3-02	COI	SRR7969727	SAMN10181882	PRJNA494857
Negative-P4-01	COI	SRR7969724	SAMN10181883	PRJNA494857
Negative-P4-02	COI	SRR7969725	SAMN10181884	PRJNA494857
POHI-L-01	COI	SRR7969722	SAMN10181885	PRJNA494857
POHI-L-02	COI	SRR7969723	SAMN10181886	PRJNA494857
POHI-L-03	COI	SRR7969720	SAMN10181887	PRJNA494857
POHI-M-01	COI	SRR7969721	SAMN10181888	PRJNA494857
POHI-M-02	COI	SRR7969728	SAMN10181889	PRJNA494857
POHI-M-03	COI	SRR7969729	SAMN10181890	PRJNA494857
POHI-S-01	COI	SRR7969446	SAMN10181891	PRJNA494857
POHI-S-02	COI	SRR7969445	SAMN10181892	PRJNA494857
POHI-S-03	COI	SRR7969448	SAMN10181893	PRJNA494857
POHI-SO-01	COI	SRR7969447	SAMN10181894	PRJNA494857
POHI-SO-02	COI	SRR7969442	SAMN10181895	PRJNA494857
POHI-SO-03	COI	SRR7969441	SAMN10181896	PRJNA494857
POHI-UN-01	COI	SRR7969444	SAMN10181897	PRJNA494857
POHI-UN-02	COI	SRR7969443	SAMN10181898	PRJNA494857
POHI-UN-03	COI	SRR7969450	SAMN10181899	PRJNA494857
Positive-P1-01	COI	SRR7969449	SAMN10181900	PRJNA494857
Positive-P1-02	COI	SRR7969436	SAMN10181901	PRJNA494857
Positive-P2-01	COI	SRR7969435	SAMN10181902	PRJNA494857
Positive-P2-02	COI	SRR7969438	SAMN10181903	PRJNA494857
Positive-P3-01	COI	SRR7969437	SAMN10181904	PRJNA494857
Positive-P3-02	COI	SRR7969432	SAMN10181905	PRJNA494857
Positive-P4-01	COI	SRR7969431	SAMN10181906	PRJNA494857
Positive-P4-02	COI	SRR7969434	SAMN10181907	PRJNA494857
RAIL-L-01	COI	SRR7969433	SAMN10181908	PRJNA494857
RAIL-L-02	COI	SRR7969440	SAMN10181909	PRJNA494857
RAIL-L-03	COI	SRR7969439	SAMN10181910	PRJNA494857
RAIL-M-01	COI	SRR7969716	SAMN10181911	PRJNA494857
RAIL-M-02	COI	SRR7969717	SAMN10181912	PRJNA494857
RAIL-M-03	COI	SRR7969714	SAMN10181913	PRJNA494857
RAIL-S-01	COI	SRR7969715	SAMN10181914	PRJNA494857
RAIL-S-02	COI	SRR7969712	SAMN10181915	PRJNA494857
RAIL-S-03	COI	SRR7969713	SAMN10181916	PRJNA494857
RAIL-SO-01	COI	SRR7969710	SAMN10181917	PRJNA494857
RAIL-SO-02	COI	SRR7969711	SAMN10181918	PRJNA494857
RAIL-SO-03	COI	SRR7969718	SAMN10181919	PRJNA494857
RAIL-UN-01	COI	SRR7969719	SAMN10181920	PRJNA494857
RAIL-UN-02	COI	SRR7969631	SAMN10181921	PRJNA494857
RAIL-UN-03	COI	SRR7969630	SAMN10181922	PRJNA494857
SABA-L-01	COI	SRR7969629	SAMN10181923	PRJNA494857
SABA-L-02	COI	SRR7969410	SAMN10181924	PRJNA494857
SABA-L-03	COI	SRR7969635	SAMN10181925	PRJNA494857
SABA-M-01	COI	SRR7969634	SAMN10181926	PRJNA494857
SABA-M-02	COI	SRR7969633	SAMN10181927	PRJNA494857
SABA-M-03	COI	SRR7969632	SAMN10181928	PRJNA494857
SABA-S-01	COI	SRR7969407	SAMN10181929	PRJNA494857
SABA-S-02	COI	SRR7969622	SAMN10181930	PRJNA494857
SABA-S-03	COI	SRR7969503	SAMN10181931	PRJNA494857
