sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
MC12-01,98102,30901,9004,21897,9002,0.97,40,3,17,25962
MC12-02,113792,36537,11880,24657,11878,0.97,53,3,27,29949
MC12-03,73132,22873,5922,16951,5920,0.97,42,3,18,19643
MC13-01,81010,24767,5746,19021,5746,0.97,32,3,15,21595
MC13-02,19112,709,24,685,24,0.97,20,3,7,659
MC13-03,20166,5953,904,5049,904,0.97,26,3,13,5452
MC14-01,121278,37989,10882,27107,10882,0.97,46,3,18,32006
MC14-02,110572,34419,10632,23787,10632,0.97,85,3,56,28493
MC14-03,73492,20200,2812,17388,2812,0.97,28,3,12,18639
Negative-P1-01,486,126,42,84,42,0.97,18,3,3,87
Negative-P1-02,238,27,2,25,2,0.97,14,3,3,13
Negative-P2-01,132,16,0,16,0,0.97,8,3,3,9
Negative-P2-02,82,8,0,8,0,0.97,8,3,0,0
Negative-P3-01,88,11,0,11,0,0.97,8,3,1,3
Negative-P3-02,150,25,4,21,4,0.97,10,3,2,13
Negative-P4-01,76,4,0,4,0,0.97,2,3,0,0
Negative-P4-02,72,9,0,9,0,0.97,7,3,0,0
POHI-L-01,60162,17836,4122,13714,4120,0.97,97,3,34,15398
POHI-L-02,108932,34680,13058,21622,13050,0.97,112,3,44,26991
POHI-L-03,89094,26255,5788,20467,5788,0.97,110,3,41,22920
POHI-M-01,48282,5983,1390,4593,1390,0.97,32,3,11,4650
POHI-M-02,138218,40515,10438,30077,10438,0.97,59,3,28,34544
POHI-M-03,88744,20021,6020,14001,6020,0.97,45,3,18,15995
POHI-S-01,55360,8197,1410,6787,1410,0.97,195,3,65,6891
POHI-S-02,98374,18065,3812,14253,3812,0.97,265,3,95,15076
POHI-S-03,76542,14637,3712,10925,3712,0.97,235,3,77,11782
POHI-SO-01,90826,27125,7724,19401,7724,0.97,348,3,132,22424
POHI-SO-02,130640,39211,9322,29889,9322,0.97,395,3,155,33647
POHI-SO-03,114482,33403,9180,24223,9180,0.97,375,3,165,27829
POHI-UN-01,117286,37111,11656,25455,11652,0.97,371,3,143,30234
POHI-UN-02,158942,47882,12792,35090,12790,0.97,369,3,141,40420
POHI-UN-03,133194,42073,12582,29491,12578,0.97,396,3,158,34653
Positive-P1-01,86584,20067,2340,17727,2340,0.97,24,3,6,18758
Positive-P1-02,63682,14314,1798,12516,1798,0.97,25,3,4,13303
Positive-P2-01,107516,26671,3952,22719,3948,0.97,35,3,12,24496
Positive-P2-02,83184,20381,2182,18199,2182,0.97,45,3,15,19170
Positive-P3-01,138838,31977,5246,26731,5246,0.97,43,3,17,29015
Positive-P3-02,110830,24922,3086,21836,3086,0.97,29,3,8,23172
Positive-P4-01,95614,23503,3084,20419,3080,0.97,32,3,11,21807
Positive-P4-02,100798,24580,3732,20848,3732,0.97,40,3,14,22501
RAIL-L-01,57776,15299,3024,12275,3024,0.97,72,3,13,13514
RAIL-L-02,155844,44428,9830,34598,9830,0.97,165,3,71,38630
RAIL-L-03,101772,24832,7698,17134,7694,0.97,131,3,48,19768
RAIL-M-01,76026,15904,3382,12522,3382,0.97,86,3,35,13763
RAIL-M-02,142936,44128,11270,32858,11268,0.97,207,3,91,37677
RAIL-M-03,123470,37011,10552,26459,10550,0.97,171,3,73,30905
RAIL-S-01,87694,21295,6608,14687,6608,0.97,124,3,49,17006
RAIL-S-02,146642,44361,11536,32825,11536,0.97,176,3,70,37833
RAIL-S-03,133688,41174,10990,30184,10990,0.97,170,3,68,34899
RAIL-SO-01,70112,21293,6164,15129,6162,0.97,151,3,59,17635
RAIL-SO-02,173444,56522,19760,36762,19758,0.97,106,3,24,45518
RAIL-SO-03,93146,22335,4912,17423,4912,0.97,47,3,14,19427
